UI_20150317_000001	{@st41b}各种大师职业类别{nl}你可以了解的特点.{/}
UI_20150317_000002	{@st43}属性列表{/}
UI_20150317_000003	{@st59}关闭属性列表{/}
UI_20150317_000004	{@st43}学习属性{/}
UI_20150317_000005	{@st59}关闭属性窗口{/}
UI_20150317_000006	{@st41b}银币{/}
UI_20150317_000007	我的成就
UI_20150317_000008	服务器排名
UI_20150317_000009	{@st59}你未预见的事件{/}
UI_20150317_000010	{@st59}有小贴士{/}
UI_20150317_000011	{@st41}你确定要制作箭吗?{/}
UI_20150317_000012	{@st41b}仅一次{/}
UI_20150317_000013	{@st41b}所有{/}
UI_20150317_000014	{@st41b}停止{/}
UI_20150317_000015	{@st43}冒险日志{/}
UI_20150317_000016	{@st43}拍卖行{/}
UI_20150317_000017	{@st59}关闭拍卖行{/}
UI_20150317_000018	{@st41b}出售道具 : %s个,  流标物品 : %s个{/}
UI_20150317_000019	{@st43}{s22}拍卖物品{/}
UI_20150317_000020	{@st59}关闭任务菜单{/}
UI_20150317_000021	Abe days rest
UI_20150317_000022	{@st41b}剩余时间
UI_20150317_000023	3小时 16分钟
UI_20150317_000024	{@st41b}从
UI_20150317_000025	{@st41b}可以投标
UI_20150317_000026	{@st41b}时价
UI_20150317_000027	{@st41b}投标金
UI_20150317_000028	{@st41b}至少 {@st57}%s {@st41b}从银币开始投标{/}
UI_20150317_000029	{@st41b}投标{/}
UI_20150317_000030	{@st43b}直接购买!{nl}{img icon_item_silver 20 20}{@st57}%s{/}
UI_20150317_000031	{@st44}设置权限{/}
UI_20150317_000032	{@st45}名称:%s{/}
UI_20150317_000033	{@st45}公会仓库{/}
UI_20150317_000034	{@st49}无
UI_20150317_000035	{@st49}载入中
UI_20150317_000036	{@st49}输入
UI_20150317_000037	{@st45}调查{/}
UI_20150317_000038	{@st49}创建
UI_20150317_000039	{@st49}删除
UI_20150317_000040	{@st44}保存{/}
UI_20150317_000041	{@st44}取消{/}
UI_20150317_000042	{@st43}{s22}美容院{/}
UI_20150317_000043	{@st59}上一个发型{/}
UI_20150317_000044	{@st59}下一个发型{/}
UI_20150317_000045	{@st41b}变更{s18}(金币 100 需要){/}
UI_20150317_000046	{@st59}变更所选发型.{/}
UI_20150317_000047	{@st41}清除
UI_20150317_000048	{@st43}黑市{/}
UI_20150317_000049	书名
UI_20150317_000050	{@st59}不中断阅读{/}
UI_20150317_000051	{@st59}上一页{/}
UI_20150317_000052	{@st59}下一页{/}
UI_20150317_000053	{@st47}%s 登场!!
UI_20150317_000054	{@st43}得分{/}
UI_20150317_000055	受到的伤害
UI_20150317_000056	技巧奖励
UI_20150317_000057	回避奖励
UI_20150317_000058	通关时间
UI_20150317_000059	总得分
UI_20150317_000060	{@st42}经过时间
UI_20150317_000061	10分
UI_20150317_000062	10秒
UI_20150317_000063	{@st44}去完成
UI_20150317_000064	{@st59}关闭营地{/}
UI_20150317_000065	{@st43}BUFF自动贩卖
UI_20150317_000066	自动贩卖名称
UI_20150317_000067	{@st43}注册
UI_20150317_000068	{@st43}取消
UI_20150317_000069	BUFF自动贩卖
UI_20150317_000070	{@st59}关闭BUFF自动贩卖.
UI_20150317_000071	{@st59}BUFF自动贩卖{nl} - 玩家支付银币可获得BUFF.
UI_20150317_000072	马车菜单
UI_20150317_000073	{ol}{s22}向下{/}
UI_20150317_000074	铸件
UI_20150317_000075	{@st43}游戏设置{/}
UI_20150317_000076	{@st64}方向键输入单元选择!
UI_20150317_000077	{@st43}之前的信息{/}
UI_20150317_000078	{@st43}选择职业类别
UI_20150317_000079	Psychokinesist
UI_20150317_000080	{@st42}%s 社团{/}
UI_20150317_000081	若干社团
UI_20150317_000082	这里描述职业类别的简单说明.
UI_20150317_000083	{@st41b}攻击 {@sti7}%s{/}
UI_20150317_000084	{@st41b}治疗    {@sti7}%s{/}
UI_20150317_000085	{@st41b}难度 {@sti7}%s{/}
UI_20150317_000086	{@st59}关闭职业类别信息{/}
UI_20150317_000087	前置可能提醒
UI_20150317_000088	{@st43}前置职业类别
UI_20150317_000089	{@sti7}{s14}人物{/}
UI_20150317_000090	{@sti8}{s14}职业类别{/}
UI_20150317_000091	{@st44}聊天{/}
UI_20150317_000092	给. WWWWWWWW 以及 1 个另外的
UI_20150317_000093	一般 : /s 消息{nl}喊叫 : /y 消息{nl}组队 : /p 消息{nl}悄悄话 : /w 玩家名称 消息
